chem_formula,category,crystal_system,bravais_lattice,precision_level,rgkmax,k_point_density,functional,total_energy,E_cut,precision_element1,precision_element2,precision_element3,min_atom_num,max_atom_num,numbers,json_id_num,name,num_atoms,A_atom_num,B_atom_num,A_EA_half,B_EA_half,A_rs,A_s_index,A_rp,A_p_index,A_rd,A_d_index,A_rf,A_f_index,B_rs,B_s_index,B_rp,B_p_index,B_rd,B_d_index,B_rf,B_f_index,A_HOMO,A_LUMO,B_HOMO,B_LUMO,A_EA_delta,A_IP_half,A_IP_delta,B_EA_delta,B_IP_half,B_IP_delta,A_energy,A_bravais_lattice,A_num_atoms,B_energy,B_bravais_lattice,B_num_atoms,A_energy_error,B_energy_error,A_fraction,B_fraction,stoich_pred,A_stoich,B_stoich,stoich_error_pred,A_stoich_error,B_stoich_error,binary_energy_of_formation,binary_energy_error,binary_eof_error
H4Li4,binaries,cubic,cF,30.0,2.48295341,8.0,pbe,-109.07823928109984,42.79585442,42.549,29.38,,1,3,"[1, 1, 1, 1, 3, 3, 3, 3]",1,01_H,8,1,3,-0.69804885,-0.43620871,0.5521,1.0,1.3786,3.0,1.058,7.0,0.0,0.0,1.6348,2.0,1.9618,3.0,6.7209,14.0,9.9999,7.0,-6.3316859,-6.3316859,-3.14714133,-1.23869654,-1.727702621,12.42399219,0.0,-0.443360974,5.57877819,5.47070464,-15.27373810769714,hP,4,-204.23033269984788,hR,3,-0.6088762325453185,-0.4485327063818829,0.5,0.5,-109.75203540377251,-7.63686905384857,-102.11516634992394,-0.5287044694636007,-0.30443811627265926,-0.22426635319094146,0.6737961226726696,-1.614606646601473,-1.0859021771378679
F4Li4,binaries,cubic,cF,30.0,3.11095892,8.0,pbe,-1455.020367793665,53.08209712,28.829,36.811,,3,9,"[9, 9, 9, 9, 3, 3, 3, 3]",2,03_Li,8,9,3,-3.66044176,-0.43620871,0.404,2.0,0.3726,3.0,1.4283,10.0,0.0,0.0,1.6348,2.0,1.9618,3.0,6.7209,14.0,9.9999,7.0,-10.15882255,1.25211742,-3.14714133,-1.23869654,-3.872247645,17.61722535,17.744721999,-0.443360974,5.57877819,5.47070464,-2695.041372728246,mS,8,-204.23033269984788,hR,3,-21.00065304077725,-0.4485327063818829,0.5,0.5,-1449.6358527140471,-1347.520686364123,-102.11516634992394,-10.724592873579567,-10.500326520388626,-0.22426635319094146,-5.384515079617913,-8.275288431339277,2.4493044422402903
Be4S4,binaries,cubic,cF,30.0,3.31538304,8.0,pbe,-5629.9374120981165,71.12987576,33.379,39.906,,4,16,"[16, 16, 16, 16, 4, 4, 4, 4]",3,04_Be,8,16,4,-2.09291139,0.74699855,0.7475,6.0,0.8476,7.0,2.6868,11.0,0.0,0.0,1.0864,2.0,1.2151,3.0,2.8911,7.0,0.0,0.0,-5.96396442,-5.96396442,-5.54141769,-1.96183923,-2.161912664,10.17755485,10.215659841,0.661979595,9.40560968,9.457792755,-10853.921651960376,cP,1,-401.34473760125417,hP,2,-8.152822551974168,-0.5677715745430305,0.5,0.5,-5627.633194780815,-5426.960825980188,-200.67236880062708,-4.360297063258599,-4.076411275987084,-0.28388578727151526,-2.3042173173014078,-3.432765113858295,0.9275319494003043
B2N2,binaries,hexagonal,hP,30.0,2.83969006,8.0,pbe,-1075.8968993542635,64.91959632,29.723,31.672,,5,7,"[7, 7, 5, 5]",4,05_B,4,5,7,-0.43296391,0.30192328,0.8033,2.0,0.834,3.0,2.1242,10.0,0.0,0.0,0.5348,2.0,0.5092,3.0,1.6939,10.0,0.0,0.0,-3.97338496,-3.97338496,-8.25462313,-3.99815016,-0.603998573,8.31384711,8.413118875,0.137516499,14.71820934,14.847717177,-673.6751312654546,hR,12,-1478.7396095221309,cP,8,-2.5168009505215423,-11.416287930271437,0.5,0.5,-1076.2073703937926,-336.8375656327273,-739.3698047610654,-6.96654444039649,-1.2584004752607711,-5.708143965135719,0.31047103952926136,-8.501376482251771,-1.5348320418553385
C4Ti4,binaries,cubic,cF,30.0,3.49780484,8.0,pbe,-12118.95048254338,63.03838124,37.305,29.639,,6,22,"[6, 6, 6, 6, 22, 22, 22, 22]",5,06_C,8,6,22,-1.46237959,-0.57901012,0.6409,2.0,0.6314,3.0,1.8064,11.0,0.0,0.0,1.5843,10.0,2.0971,16.0,0.538,11.0,0.0,0.0,-6.05205467,-3.50634355,-2.52576768,-2.52576768,-1.62667163,11.49493763,11.61299938,-0.526476342,6.75276856,6.579855169,-1030.0715107175668,hP,4,-23221.77037499919,hP,2,-6.798905724140695,-11.806551776928245,0.5,0.5,-12125.920942858378,-515.0357553587834,-11610.885187499594,-9.30272875053447,-3.3994528620703477,-5.9032758884641225,6.9704603149984905,-17.110050477222103,-7.807321726688315
N4V4,binaries,cubic,cF,30.0,3.53297418,8.0,pbe,-13646.695281671717,57.07203512,36.98,29.639,,7,23,"[7, 7, 7, 7, 23, 23, 23, 23]",6,07_N,8,23,7,-0.7277671,0.30192328,1.4968,10.0,0.4492,7.0,0.4861,11.0,0.0,0.0,0.5348,2.0,0.5092,3.0,1.6939,10.0,0.0,0.0,-3.10083769,-1.50553554,-8.25462313,-3.99815016,-0.394700909,7.51374216,7.084616394,0.137516499,14.71820934,14.847717177,-25821.13446028236,cI,2,-1478.7396095221309,cP,8,-11.276057047038194,-11.416287930271437,0.5,0.5,-13649.937034902245,-12910.56723014118,-739.3698047610654,-11.346172488654815,-5.638028523519097,-5.708143965135719,3.2417532305283885,-15.550662877027207,-4.204490388372392
Cd4O4,binaries,cubic,cF,30.0,3.78185966,8.0,pbe,-77122.56885044817,65.39631106,36.932,28.912,,8,48,"[8, 8, 8, 8, 48, 48, 48, 48]",7,08_O,8,8,48,-1.62640753,0.99936643,0.4597,2.0,0.429,3.0,2.3647,11.0,0.0,0.0,1.2328,24.0,1.7563,25.0,0.5191,19.0,0.0,0.0,-7.09864343,-7.09864343,-5.69765828,-1.11459223,-1.813515141,13.43202126,13.536399783,0.958243665,9.27058591,9.309496174,-2027.6350520801932,tI,4,-152246.48366730107,hP,2,-17.957355602155758,-29.138214173348388,0.5,0.5,-77137.05935969063,-1013.8175260400966,-76123.24183365054,-23.547784887752073,-8.978677801077879,-14.569107086674194,14.490509242459666,-39.20047875336604,-15.652693865602487
F4Na4,binaries,cubic,cF,30.0,3.2893749,8.0,pbe,-3560.5331372019723,49.47310652,30.482,30.925,,9,11,"[9, 9, 9, 9, 11, 11, 11, 11]",8,09_F,8,9,11,-3.66044176,-0.47888166,0.404,2.0,0.3726,3.0,1.4283,10.0,0.0,0.0,1.7391,6.0,0.2868,3.0,8.4494,11.0,0.0,0.0,-10.15882255,1.25211742,-3.00788456,-1.38498921,-3.872247645,17.61722535,17.744721999,-0.506075859,5.2871817,5.251806074,-2695.041372728246,mS,8,-4415.517436976399,hR,3,-21.00065304077725,-4.550658794802985,0.5,0.5,-3555.279404852323,-1347.520686364123,-2207.7587184881995,-12.775655917790118,-10.500326520388626,-2.2753293974014923,-5.253732349649908,-10.221222566844972,2.554433350945601
Cl4Na4,binaries,cubic,cF,30.0,3.21483113,8.0,pbe,-8478.845160691282,47.25619643,31.461,30.225,,11,17,"[17, 17, 17, 17, 11, 11, 11, 11]",9,11_Na,8,17,11,-3.61204219,-0.47888166,0.6782,6.0,0.7558,7.0,2.2149,14.0,0.0,0.0,1.7391,6.0,0.2868,3.0,8.4494,11.0,0.0,0.0,-8.09428669,0.07351292,-3.00788456,-1.38498921,-3.692423862,12.97184405,13.023881781,-0.506075859,5.2871817,5.251806074,-12541.641673578915,oS,8,-4415.517436976399,hR,3,-16.40320927051289,-4.550658794802985,0.5,0.5,-8478.579555277658,-6270.820836789458,-2207.7587184881995,-10.476934032657937,-8.201604635256444,-2.2753293974014923,-0.2656054136250532,-12.037550028948317,-1.5606159962903803
Mg4O4,binaries,cubic,cF,30.0,3.28727361,8.0,pbe,-3743.7645618868014,49.40991869,32.102,31.071,,8,12,"[8, 8, 8, 8, 12, 12, 12, 12]",10,12_Mg,8,8,12,-1.62640753,0.70699043,0.4597,2.0,0.429,3.0,2.3647,11.0,0.0,0.0,1.3534,6.0,0.2535,3.0,5.6658,11.0,0.0,0.0,-7.09864343,-7.09864343,-4.67921703,-1.28412188,-1.813515141,13.43202126,13.536399783,0.507814163,7.88824061,7.927674523,-2027.6350520801932,tI,4,-5448.937291761235,hP,2,-17.957355602155758,-2.4471484852901995,0.5,0.5,-3738.2861719207144,-1013.8175260400966,-2724.4686458806177,-10.202252043722979,-8.978677801077879,-1.2235742426450997,-5.478389966086979,-7.558066233656064,2.644185810067029
